	RNA-POC-47-S1-TP2_output	RNA-POC-48-S1-TP2_output	RNA-POC-50-S1-TP2_output	RNA-POC-53-S1-TP2_output	RNA-POC-57-S1-TP2_output
Pocillopora_meandrina_HIv1___xfSc0000488	89.976	76.0011	407.357	241.633	448.982
Pocillopora_meandrina_HIv1___xfSc0000275	954.93	790.819	743.967	981.242	506.014
Pocillopora_meandrina_HIv1___xfSc0000477	1804.21	978.007	3443.65	1438.52	1657.49
Pocillopora_meandrina_HIv1___xfSc0000195	0	24.508	0	9.21282	0
Pocillopora_meandrina_HIv1___xfSc0000811	964.213	152.995	170.951	1013.93	1774.48
Pocillopora_meandrina_HIv1___Sc0000035	119155	100962	129198	205727	89020.4
Pocillopora_meandrina_HIv1___Sc0000071	558.47	0	31.8745	6.78082	0
Pocillopora_meandrina_HIv1___xfSc0000017	659.613	684.394	969.607	467.676	592.566
Pocillopora_meandrina_HIv1___Sc0000033	230464	187024	257715	228400	167721
Pocillopora_meandrina_HIv1___Sc0000018	832333	696232	996252	867966	613450
Pocillopora_meandrina_HIv1___Sc0000027	1.1085e+06	1.03401e+06	1.07166e+06	1.2093e+06	684321
Pocillopora_meandrina_HIv1___xfSc0000699	10.1212	0	65.6437	0	7.0567
Pocillopora_meandrina_HIv1___xfSc0000655	1363.39	1579.24	909.741	2760.79	296.595
Pocillopora_meandrina_HIv1___Sc0000043	135902	188831	176313	175714	142079
Pocillopora_meandrina_HIv1___xfSc0000083	79.7741	74.619	173.691	108.864	59.1005
Pocillopora_meandrina_HIv1___Sc0000051	83.7957	562.864	327.303	621.485	741.935
Pocillopora_meandrina_HIv1___xfSc0000223	697.253	274.634	725.793	430.055	257.295
Pocillopora_meandrina_HIv1___xfSc0001011	8.29534	10.0684	7.0913	0	2.26097
Pocillopora_meandrina_HIv1___xfSc0000014	24.5238	26.436	53.3483	101.403	0
Pocillopora_meandrina_HIv1___Sc0000065	0	3.29216	0	2.02909	0
Pocillopora_meandrina_HIv1___xfSc0000146	111.254	104.549	697.582	255.338	377.198
Pocillopora_meandrina_HIv1___xfSc0000206	75.0969	89.8236	223.132	171.342	103.74
Pocillopora_meandrina_HIv1___Sc0000002	1.61637e+06	1.40883e+06	1.90512e+06	1.79358e+06	1.25467e+06
Pocillopora_meandrina_HIv1___Sc0000052	0	42.0285	0	3.1382	1.00072
Pocillopora_meandrina_HIv1___Sc0000028	533183	499809	579756	587371	408112
Pocillopora_meandrina_HIv1___xfSc0000570	0	1.39963	1.54701	1.25997	15.4624
Pocillopora_meandrina_HIv1___Sc0000004	748625	691762	835384	874752	589332
Pocillopora_meandrina_HIv1___xfSc0000968	5.71544	46.4672	9.31931	0	4.25824
Pocillopora_meandrina_HIv1___Sc0000007	1.37452e+06	1.23009e+06	1.61315e+06	1.58539e+06	1.16034e+06
Pocillopora_meandrina_HIv1___xfSc0000426	1870.2	1861.56	1087.62	873.112	1332.95
Pocillopora_meandrina_HIv1___xfSc0000890	189.388	837.24	380.841	590.026	179.263
Pocillopora_meandrina_HIv1___xpSc0001280	64.7868	113.682	20.3552	55.3753	69.0497
Pocillopora_meandrina_HIv1___xfSc0000237	404.728	458.501	233.078	310.596	257.017
Pocillopora_meandrina_HIv1___xfSc0000875	25.9977	12.4316	10.8857	24.6396	14.1342
Pocillopora_meandrina_HIv1___xfSc0000168	72.5737	44.9625	87.709	65.022	39.809
Pocillopora_meandrina_HIv1___Sc0000068	0	0	0	0	0
Pocillopora_meandrina_HIv1___xfSc0000692	24.2316	51.9053	13.1272	13.3394	1122.06
Pocillopora_meandrina_HIv1___Sc0000067	1022.84	3368.61	2093.56	1503.43	1496.03
Pocillopora_meandrina_HIv1___Sc0000026	534928	662588	683098	801896	610999
Pocillopora_meandrina_HIv1___xfSc0000995	0	0	6.50906	0	0
Pocillopora_meandrina_HIv1___Sc0000037	247809	215003	289555	270422	189615
Pocillopora_meandrina_HIv1___xfSc0000092	168.35	248.941	328.436	169.664	83.202
Pocillopora_meandrina_HIv1___Sc0000010	804667	750792	1.005e+06	911447	722049
Pocillopora_meandrina_HIv1___xfSc0000583	19.6004	44.3851	46.6097	69.4188	62.9549
Pocillopora_meandrina_HIv1___Sc0000057	1078.55	216.854	907.289	561.324	249.825
Pocillopora_meandrina_HIv1___Sc0000006	1.08448e+06	881508	1.22771e+06	1.12752e+06	779350
Pocillopora_meandrina_HIv1___xfSc0000616	8.76787e+06	8.54421e+06	3.98673e+06	2.88972e+06	1.49825e+06
Pocillopora_meandrina_HIv1___Sc0000036	333095	271135	346518	328751	219487
Pocillopora_meandrina_HIv1___Sc0000021	458421	412350	552337	546789	361696
Pocillopora_meandrina_HIv1___Sc0000005	1.65147e+06	1.26601e+06	1.87798e+06	1.65493e+06	1.11914e+06
Pocillopora_meandrina_HIv1___Sc0000032	676420	622507	970733	919954	603218
Pocillopora_meandrina_HIv1___xfSc0000892	0	0	0	0	0
Pocillopora_meandrina_HIv1___xfSc0000886	5.23422	4.03087	23.0545	9.38641	17.7828
Pocillopora_meandrina_HIv1___xfSc0000012	444.227	50.1974	454.898	446.149	36.1006
Pocillopora_meandrina_HIv1___xfSc0000436	21.2236	22.7979	280.733	50.5082	55.8923
Pocillopora_meandrina_HIv1___Sc0000080	10.901	9.69857	24.9232	0	2.33029
Pocillopora_meandrina_HIv1___xfSc0000596	85.6337	246.666	216.469	21.0631	242.444
Pocillopora_meandrina_HIv1___xfSc0000716	167.212	8268.16	10386.8	21789.8	45.1079
Pocillopora_meandrina_HIv1___Sc0000066	3165.54	2249.31	2061.69	2112.05	1300.72
Pocillopora_meandrina_HIv1___xfSc0000527	238.672	203.556	239.438	156.668	131.015
Pocillopora_meandrina_HIv1___Sc0000031	414771	344909	485558	431343	303817
Pocillopora_meandrina_HIv1___Sc0000069	4960.18	3416.74	6825.05	5981.38	4841.33
