	RNA-POR-71-S1-TP2	RNA-POR-73-S1-TP2	RNA-POR-76-S1-TP2	RNA-POR-79-S1-TP2	RNA-POR-82-S1-TP2
Porites_evermani_scaffold_22	17171.7	6820.04	24767.8	10702.6	24116.3
Porites_evermani_scaffold_568	4921.17	1320.49	8208.28	3835.13	3975.63
Porites_evermani_scaffold_332	6340.8	2542.11	4691	1985.67	8923.27
Porites_evermani_scaffold_184	7449.08	86.7683	2380	94.6149	14068
Porites_evermani_scaffold_1308	12044.8	4087.6	6921.8	3583.33	16814.3
Porites_evermani_scaffold_4176	1.01043	0	15.101	0	8.07959
Porites_evermani_scaffold_1839	339.404	149.117	798.341	129.452	383.5
Porites_evermani_scaffold_1314	2836.05	1034.09	2650.53	875.415	2254.41
Porites_evermani_scaffold_167	2.69127e+07	3.57554e+07	2.74595e+07	3.56746e+07	1.91944e+07
Porites_evermani_scaffold_2326	36.0155	319.346	27.2989	50.2053	86.1841
Porites_evermani_scaffold_858	33612.5	10232.5	10151.3	15194.6	44580.7
Porites_evermani_scaffold_3582	12.1376	9.13132	1007.05	18.1905	10.0199
Porites_evermani_scaffold_3561	129.73	70.3202	78.0007	134.934	142.6
Porites_evermani_scaffold_1571	76.6116	21.3705	45.5192	23.462	128.451
Porites_evermani_scaffold_445	3429.21	1277.22	2462.66	1809.37	3952.56
Porites_evermani_scaffold_313	17384.2	5641.73	26935.2	10403.7	18936.4
Porites_evermani_scaffold_2840	41.8644	5.00618	82.7775	7.0067	8.28351
Porites_evermani_scaffold_5437	14	12.0206	170	11	13.5138
Porites_evermani_scaffold_532	10478.8	4044.19	3883.12	7305.35	12418.7
Porites_evermani_scaffold_1457	3578.74	1046.28	1027.05	1264.72	4828.73
Porites_evermani_scaffold_3835	155775	49761	100382	23803.5	150142
Porites_evermani_scaffold_2456	53.0367	10.0529	49.1414	12.0053	36.0515
Porites_evermani_scaffold_907	3742.91	935.595	3602.12	2638	3385.43
Porites_evermani_scaffold_5982	0	8	24	24	19.2438
Porites_evermani_scaffold_5285	9.04192	12.7625	136.867	13.1561	17.1666
Porites_evermani_scaffold_835	11844.6	4058.38	8123.01	8000.31	28279.8
Porites_evermani_scaffold_1890	48.4005	136.825	760.411	195.431	445.23
Porites_evermani_scaffold_1601	968.278	351.133	970.247	490.736	391.631
Porites_evermani_scaffold_5054	908.263	319.14	787.618	402.758	999.493
Porites_evermani_scaffold_506	496.707	194.392	556.949	204.383	571.491
Porites_evermani_scaffold_6123	25	12	0	9	62
Porites_evermani_scaffold_395	27398.1	14215.6	28360.4	22726.3	34619
Porites_evermani_scaffold_1616	771.392	196.628	767.639	220.364	355.206
Porites_evermani_scaffold_985	38.3019	7.11393	26.7769	55.2403	21.07
Porites_evermani_scaffold_6332	6.17334	55.1394	0	19.6164	43.2579
Porites_evermani_scaffold_171	25780.6	11461	29790.3	10869.9	35783.3
Porites_evermani_scaffold_1087	2196.7	824.008	522.231	1145.9	1594.78
Porites_evermani_scaffold_1856	1303.49	1018.57	918.491	941.602	93.7503
Porites_evermani_scaffold_432	19559.2	10749.1	25413.3	13960.3	24535
Porites_evermani_scaffold_2251	82.4921	52.5513	131.36	24.3953	46.0508
Porites_evermani_scaffold_1634	77.4905	107.66	230.318	33.1699	111.621
Porites_evermani_scaffold_1996	79.4671	69.3722	4287.16	1015.15	365.107
Porites_evermani_scaffold_6875	74	1.02226	69	20.6658	47.0784
Porites_evermani_scaffold_2157	298.829	40.8685	381.342	65.3128	61.3022
Porites_evermani_scaffold_3530	38.7479	192.258	797.237	125.19	45.6673
Porites_evermani_scaffold_2132	9937.61	2671.83	3833.8	5197.4	13629.9
Porites_evermani_scaffold_1813	657.407	2849.68	41362.2	322.315	12132.9
Porites_evermani_scaffold_3953	2.01592	2.02163	309.519	2.03429	0
Porites_evermani_scaffold_4931	614.025	678.432	174.395	52	393
Porites_evermani_scaffold_3133	277.46	101.699	238.01	92.1629	404.9
Porites_evermani_scaffold_480	239.161	127.61	311.757	100.212	142.919
Porites_evermani_scaffold_7488	0	8	16	9	43
Porites_evermani_scaffold_3005	85.1082	45.3478	81.275	15.0458	1.00107
Porites_evermani_scaffold_5154	17.387	475.795	35.1761	29.5585	118.218
Porites_evermani_scaffold_7028	1	0	87.7033	0	1
Porites_evermani_scaffold_114	25611.5	9925.81	27524.9	13524.9	30589.6
Porites_evermani_scaffold_4184	476.541	345.469	477.06	656.963	260.138
Porites_evermani_scaffold_5008	73.7512	35.3329	113	25.9248	72.1926
Porites_evermani_scaffold_277	1432.91	3728.42	2684.56	847.211	10710.6
Porites_evermani_scaffold_3923	3923.79	966.538	4404.59	3146.28	5622.93
Porites_evermani_scaffold_1264	6817.65	2602.32	5144.75	2853.32	12199.3
Porites_evermani_scaffold_4058	1520.88	576.174	1973.41	745.567	5043.84
Porites_evermani_scaffold_3841	45529	31989	28771	23671	56688
Porites_evermani_scaffold_209	6984.25	7541.14	7269.71	3664.45	8970.18
Porites_evermani_scaffold_3589	302.795	471.352	590.408	148.192	362.065
Porites_evermani_scaffold_4576	1915.07	398.326	567.544	482.626	1686.68
Porites_evermani_scaffold_493	19653.5	9985.4	21231.8	11226.8	22555.2
Porites_evermani_scaffold_2471	2529.52	1142.24	3045.45	1248.17	3672.32
Porites_evermani_scaffold_497	14713.5	5997.18	18449.8	8665.58	21723.1
Porites_evermani_scaffold_5498	280.218	41.1155	126.822	6.13514	56.8535
Porites_evermani_scaffold_5249	21.8072	14.6022	9.43759	90.515	8.80796
Porites_evermani_scaffold_422	1474.9	396.996	715.632	729.664	3313.4
Porites_evermani_scaffold_4283	232.506	22.1256	303.925	132.662	216.337
Porites_evermani_scaffold_238	2325.49	915.404	2014.13	1931.16	3098.66
Porites_evermani_scaffold_991	5572.25	1200.1	12120.3	4260.13	7438.28
Porites_evermani_scaffold_2416	4351.9	2160.55	8012.62	5880.08	9891.86
Porites_evermani_scaffold_4189	1757.38	1174.42	2022.65	874.751	1868.82
Porites_evermani_scaffold_2003	228.745	86.0596	917.411	1206.5	3155.08
Porites_evermani_scaffold_1235	41139	8915.11	3255.7	10325.1	29975.7
Porites_evermani_scaffold_621	5533.89	1675.94	4071.3	2684.17	9776.09
Porites_evermani_scaffold_1744	39.6474	39.8975	445.29	127.854	250.808
Porites_evermani_scaffold_6328	2	2	41.0088	0	13
Porites_evermani_scaffold_1984	2258.9	1794.17	4153.6	1779.45	4053.48
Porites_evermani_scaffold_3442	95.686	53.2278	70.8547	111.947	136.196
Porites_evermani_scaffold_2809	7784.11	2014	2090.74	2415.29	7692.36
Porites_evermani_scaffold_2711	1997.51	1217.24	632.412	907.158	1055.07
Porites_evermani_scaffold_5014	10.5353	2.26347	14.2566	1.05876	26.9606
Porites_evermani_scaffold_1661	4998.61	683.101	1223.14	1898.55	1869.31
Porites_evermani_scaffold_368	23698.4	2441.99	17964.7	14900.2	23362.9
Porites_evermani_scaffold_2701	614.675	412.948	400.037	685.163	821.275
Porites_evermani_scaffold_2846	1582.94	322.231	500.498	454.717	1316.14
Porites_evermani_scaffold_4414	0	1.00483	1	10.0292	2.00227
Porites_evermani_scaffold_5213	100.464	2.03911	43.7253	35.5671	76.5959
Porites_evermani_scaffold_1186	2156.95	675.743	5556.32	2143.14	2944.97
Porites_evermani_scaffold_5000	3.39648	6.10315	42.1586	3.53903	26.9759
Porites_evermani_scaffold_242	2852.12	945.358	1225.47	841.122	3632.52
Porites_evermani_scaffold_1140	140.678	265.406	7992.58	2911.24	2879.34
Porites_evermani_scaffold_6545	3.55461	0	0	0	0
Porites_evermani_scaffold_1303	4338.46	1825.02	4539.27	2620.83	6800.96
Porites_evermani_scaffold_6323	31.456	0	0	32.4342	1.35248
Porites_evermani_scaffold_5977	65.933	5.79788	25.3216	4.32391	27.0495
Porites_evermani_scaffold_903	2117.29	795.252	4496.69	1028.59	3614.53
Porites_evermani_scaffold_128	21326.7	8531.13	16044.5	8939.49	26017.4
Porites_evermani_scaffold_5327	132.151	21.0174	214	69.0401	143.004
Porites_evermani_scaffold_2757	1072.58	827.534	2805.31	830.954	1218.34
Porites_evermani_scaffold_4925	69.4901	7	11.1194	9.08283	166.637
Porites_evermani_scaffold_4513	1015.46	729	1689.69	1403	916.836
Porites_evermani_scaffold_540	4941.37	1064.03	3213.29	2402.85	4391.55
Porites_evermani_scaffold_5715	20.5557	39.7449	118.805	21.0002	64.8991
Porites_evermani_scaffold_92	35970	30725.3	46103.4	39043.3	55508.3
Porites_evermani_scaffold_278	283.46	165.617	588.31	55.5524	452.895
Porites_evermani_scaffold_1304	1457.35	261.083	1380.84	901.45	1299.02
Porites_evermani_scaffold_1033	37.5969	22.0653	32.7645	39.575	62.2449
Porites_evermani_scaffold_2703	224.789	100.602	261.153	132.641	466.835
Porites_evermani_scaffold_123	11325.6	2766.05	8687.55	3829.44	9478.13
Porites_evermani_scaffold_4306	1439	170	1255.45	482	2236.04
Porites_evermani_scaffold_4455	2.5896	0	88.4943	0	21.1363
Porites_evermani_scaffold_1801	316.217	211.049	701.242	203.292	202.133
Porites_evermani_scaffold_5253	1533.45	768.065	9	407.83	1054.65
Porites_evermani_scaffold_109	12703.4	4872.99	15963.3	8077.21	14889.7
Porites_evermani_scaffold_3920	10205.2	49.6021	962.711	1181.11	8363.79
Porites_evermani_scaffold_6194	0	3	20.4576	0	0
Porites_evermani_scaffold_5972	1	0	42.5732	10	0
Porites_evermani_scaffold_744	993.527	493.988	1805.45	558.731	1601.86
Porites_evermani_scaffold_1341	926.173	195.111	2677.29	278.75	927.323
Porites_evermani_scaffold_349	4512.19	3054.21	5705.64	2936.03	7310.72
Porites_evermani_scaffold_3091	55.2294	18.3848	63.0506	17.3784	41.051
Porites_evermani_scaffold_1190	1660.12	406.78	3400.53	581.437	3421.88
Porites_evermani_scaffold_1164	8659.05	3093.74	9917.74	5194.7	10500.4
Porites_evermani_scaffold_2598	85	27.0008	242	197.381	182.001
Porites_evermani_scaffold_5845	3.1431	7.63694	15.0328	7.40533	0
Porites_evermani_scaffold_1723	4114.34	1703.14	1140.1	2173.71	5322.97
Porites_evermani_scaffold_287	6307.82	2919.7	5240.71	2856.07	6957.05
Porites_evermani_scaffold_3023	492.005	8.19932	986.806	375.348	1250.98
Porites_evermani_scaffold_784	174.591	85.1137	51.2508	52.6855	943.392
Porites_evermani_scaffold_727	1361.69	418.813	1048.25	597.832	1150.98
Porites_evermani_scaffold_692	144.067	432.905	571.475	127.207	234.028
Porites_evermani_scaffold_7288	1.06873	3	0	0	10.0305
Porites_evermani_scaffold_2586	7.10632	139.777	407.166	23.9688	299.817
Porites_evermani_scaffold_5443	10.1649	1.0226	50	5.07582	31.6377
Porites_evermani_scaffold_6658	3636.15	885.888	1031.72	782.829	5043.48
