	RNA-POR-71-S1-TP2	RNA-POR-73-S1-TP2	RNA-POR-76-S1-TP2	RNA-POR-79-S1-TP2	RNA-POR-82-S1-TP2
Porites_evermani_scaffold_3711	565.652	109.365	321.389	87.6582	188.424
Porites_evermani_scaffold_4254	3958.79	1353.37	4323.41	3922.22	3599.17
Porites_evermani_scaffold_6	64092.4	42304.9	56519.8	29426.4	77174.1
Porites_evermani_scaffold_1869	1327.13	304.294	1801.76	745.964	1469.93
Porites_evermani_scaffold_311	1285.75	278.822	2024.58	596.873	2135.14
Porites_evermani_scaffold_1506	2136.06	21529.2	2675.31	1156.1	2045.84
Porites_evermani_scaffold_1038	9817.32	5397	12108.8	5166.06	19105.3
Porites_evermani_scaffold_3729	219.516	92.398	265.335	78.985	175.699
Porites_evermani_scaffold_3523	7.0335	4.04766	110.901	9.00072	274.294
Porites_evermani_scaffold_7237	78.2441	1	252	39	83.1617
Porites_evermani_scaffold_3748	319.979	1013.31	301.85	16.5566	19.9731
Porites_evermani_scaffold_246	2977.34	1076.62	3669.02	1590.39	3763.05
Porites_evermani_scaffold_623	4385.15	2015.15	6392.11	3188.57	4339.65
Porites_evermani_scaffold_3738	36.522	0	185.248	26.2818	63.6372
Porites_evermani_scaffold_1743	131.258	109.124	147.088	52.4635	227.705
Porites_evermani_scaffold_330	7740.15	2907.54	6887.85	4119.76	11846.6
Porites_evermani_scaffold_2353	75.2591	15.0402	262.55	126.034	181.302
Porites_evermani_scaffold_630	1819.8	1385.49	3554.72	1937.63	3821.32
Porites_evermani_scaffold_774	5824.64	2440.58	7277.48	4127.12	8686.06
Porites_evermani_scaffold_6299	26.0026	3	1	22	161
Porites_evermani_scaffold_5865	41.0601	52.2178	15.2102	3.19895	41.0983
Porites_evermani_scaffold_6735	7.25592	12.2787	44.8695	4.35833	34.6661
Porites_evermani_scaffold_2706	208.432	66.1152	1040.74	129.921	419.177
Porites_evermani_scaffold_2019	1333.07	891.012	2659	816.081	1614.36
Porites_evermani_scaffold_3471	2138.82	1695.7	1811	1189.27	3111.17
Porites_evermani_scaffold_3790	3.02335	10.6311	2.37412	7.08582	3.33592
Porites_evermani_scaffold_1726	302.089	91.1049	288.642	88.4494	142.605
Porites_evermani_scaffold_284	8826.95	4686.8	7002.53	4111.74	13379.9
Porites_evermani_scaffold_1974	102.141	27.8544	345.544	63.9222	63.0142
Porites_evermani_scaffold_179	894.219	395.884	892.227	675.597	931.138
Porites_evermani_scaffold_7572	213.102	62.229	232.162	293.801	141.514
Porites_evermani_scaffold_3721	32.0864	20.2205	9.38233	5.02199	34.0199
Porites_evermani_scaffold_5139	98.5219	19.5098	69.1698	32	96.5701
Porites_evermani_scaffold_201	15315.7	8090.83	17757	11343.2	19438.5
Porites_evermani_scaffold_1783	1814.1	666.213	2063.19	1129.3	2096.06
Porites_evermani_scaffold_801	197.606	46.7563	210.951	116.149	180.044
Porites_evermani_scaffold_1245	49.8754	4.00902	35.3404	28.7789	27.4296
Porites_evermani_scaffold_4917	222.486	73.1319	19.1066	182.943	188.465
Porites_evermani_scaffold_3583	5.10583	0	32.7998	51.4315	0
Porites_evermani_scaffold_1148	8602.54	7071.8	10916	7135.32	12922.4
Porites_evermani_scaffold_439	6381.26	1208.64	8833.04	3428.41	11288
Porites_evermani_scaffold_428	20347.1	7912.65	19881.6	14337.8	25062.6
Porites_evermani_scaffold_978	2106.88	1200.03	4098.45	1212.15	3874.11
Porites_evermani_scaffold_668	10824	3237.6	8116.84	4750.35	13214
Porites_evermani_scaffold_4009	150.56	18.3644	174.131	48.6643	63.7505
Porites_evermani_scaffold_5554	3.0016	0	41	1	20
Porites_evermani_scaffold_3879	74.009	6.96847	57.2136	56.308	98.9639
Porites_evermani_scaffold_951	4106.99	1799.63	2651.86	2203.96	4293.97
Porites_evermani_scaffold_2064	776.245	277.634	818.615	350.532	902.673
Porites_evermani_scaffold_555	5797.72	3261.42	5941.48	2426.39	18421.5
Porites_evermani_scaffold_1918	39231.7	14973.7	5002.99	18407.1	55539.2
Porites_evermani_scaffold_1764	472.21	325.354	1206.52	256.322	458.683
Porites_evermani_scaffold_5749	20.2371	0	17	0	42.6981
Porites_evermani_scaffold_7646	0	16	4	53.9274	20.9647
Porites_evermani_scaffold_2408	13659.7	5888.46	3275.32	2008.41	21655.7
Porites_evermani_scaffold_26	26818.8	9024.99	24969.6	13401.4	31817.3
Porites_evermani_scaffold_1470	10933.7	7843.02	12777	7401.86	14833.7
Porites_evermani_scaffold_1465	1659.43	1020.37	1507.24	702.548	1615.72
Porites_evermani_scaffold_2119	1810.01	331.54	532.066	111.823	1765.2
Porites_evermani_scaffold_5989	26.5674	10.769	99.0404	28.8655	33.1477
Porites_evermani_scaffold_3354	553.488	293	1109.72	384.03	735
Porites_evermani_scaffold_802	2327.77	526.56	2244.82	918.429	2362.94
Porites_evermani_scaffold_923	9.77258	215.351	1149.51	1047.4	314.94
Porites_evermani_scaffold_4470	866.82	411	213.567	590.082	1927.88
Porites_evermani_scaffold_2455	35.6327	8.15118	33.0262	28.7551	8.04409
Porites_evermani_scaffold_2654	188.994	39.0746	92.7926	39.1843	110.856
Porites_evermani_scaffold_3769	49.8903	116.298	190.09	2570.07	2595.81
Porites_evermani_scaffold_1519	1538.07	1053.25	2519.07	934.998	1996.37
Porites_evermani_scaffold_4468	213.646	136.776	895.89	2.01474	266.486
Porites_evermani_scaffold_2689	889.295	269.144	666.244	651.826	934.359
Porites_evermani_scaffold_2559	1701.87	1114.38	1859.67	1162.33	1964.53
Porites_evermani_scaffold_1964	2566.62	1126.72	8860.55	1814.16	4405.07
Porites_evermani_scaffold_108	27121.6	193741	33426	21069.5	45692.2
Porites_evermani_scaffold_6874	16	2	0	0	9
Porites_evermani_scaffold_1222	1274.37	394.152	837.29	694.253	1134.36
Porites_evermani_scaffold_7625	0	0	0	0	0
Porites_evermani_scaffold_339	10087.8	3871.8	9976.73	4291.21	13931.4
Porites_evermani_scaffold_1819	1395.01	15.2733	569.205	637.439	77.3902
Porites_evermani_scaffold_737	35521.6	5856.7	67354.8	32622.2	52598.5
Porites_evermani_scaffold_1091	5914.05	1107.41	4257.92	2449.92	11422.5
Porites_evermani_scaffold_2339	2875.3	1360.73	2539.77	1163.17	3660.24
Porites_evermani_scaffold_8173	6.00936	24.8277	8	12	35
Porites_evermani_scaffold_2179	17.0971	287.619	328.387	3.00165	770.543
Porites_evermani_scaffold_1836	8620.08	2940.89	4300.18	5184.87	17910.5
Porites_evermani_scaffold_4863	195.572	50.8167	1920.35	359.425	689.118
Porites_evermani_scaffold_3647	1138.88	1092.45	1080.16	514.828	1729.68
Porites_evermani_scaffold_1700	2583.64	471.983	5517.38	2080.32	2673.58
Porites_evermani_scaffold_1547	933.477	1409.95	1257.7	1119.65	1053.54
Porites_evermani_scaffold_3740	174.049	70.0951	357.145	180.08	121.129
Porites_evermani_scaffold_7387	4	12	13	7	0
Porites_evermani_scaffold_3516	11.4572	15.0546	44.1766	3.05008	17.45
Porites_evermani_scaffold_94	9033.81	4565.65	14385.6	5547.06	9994.31
Porites_evermani_scaffold_2811	2016.3	351.571	1888.32	654.635	2687.69
Porites_evermani_scaffold_7258	0	3.06739	270.965	1.03974	497.706
Porites_evermani_scaffold_505	19583.3	6594.87	22428	11971.6	24667.6
Porites_evermani_scaffold_4993	113.271	76.7626	209.409	107.258	154.76
Porites_evermani_scaffold_684	2543.97	1350.86	3032.48	1468.41	3733.89
Porites_evermani_scaffold_5875	491.399	134.169	275.948	195.38	558.002
Porites_evermani_scaffold_4298	115.083	84.4567	289.177	132.304	279.874
Porites_evermani_scaffold_394	833.794	384.191	1380.53	553.488	978.148
Porites_evermani_scaffold_2159	991.674	556.908	1804.78	510.5	1060.11
Porites_evermani_scaffold_448	6921.3	2505.94	6450.29	3411.32	9457.7
Porites_evermani_scaffold_4512	261.326	183.133	1073.47	197.357	346.535
Porites_evermani_scaffold_4076	174.003	29	243.238	124.866	451.966
Porites_evermani_scaffold_2905	569.812	117.752	95.6929	129.301	2.26135
Porites_evermani_scaffold_1125	6342.36	2698.49	26411.2	5624.43	9436.74
Porites_evermani_scaffold_2584	3517.11	2672.21	3621.82	2589.18	5023.39
Porites_evermani_scaffold_194	15281.3	8310.5	11838.4	17241.4	23139.4
Porites_evermani_scaffold_68	28579.2	12551.1	29660.8	16450.8	35126.4
Porites_evermani_scaffold_7218	79.9848	3	23	11.7253	34.0349
Porites_evermani_scaffold_3362	604.838	328.735	1166.79	225.811	965.59
Porites_evermani_scaffold_3174	1236.54	323.41	449.536	192.155	1381.47
Porites_evermani_scaffold_2851	467.121	335.081	696.441	196.552	637.424
Porites_evermani_scaffold_755	458.971	187.628	562.844	71.0668	349.742
Porites_evermani_scaffold_4113	30.8074	683.121	2.0015	222.284	52.0723
Porites_evermani_scaffold_3713	955.376	463.789	1123.53	449.632	934.095
Porites_evermani_scaffold_550	4649.19	2854.95	14670.1	3147.5	5992.11
Porites_evermani_scaffold_1876	112.72	98.7877	31.1986	32.3091	135.731
Porites_evermani_scaffold_1817	4332.14	2394.41	4453.75	3123.41	6287.25
Porites_evermani_scaffold_2733	281.532	68.7405	1271.31	1063.67	432.282
Porites_evermani_scaffold_1231	1084.46	171.248	477.961	774.835	452.906
Porites_evermani_scaffold_2060	989.968	431.385	1736.71	1216.99	47.0019
Porites_evermani_scaffold_3635	196.814	104.193	289.244	134.553	263.083
Porites_evermani_scaffold_4110	596.347	144.42	419.575	455.737	484.921
Porites_evermani_scaffold_419	26757.8	8488.6	2018.51	10564.9	40091.6
Porites_evermani_scaffold_260	11950.2	3145.54	4601.26	3929.5	12160.8
Porites_evermani_scaffold_1656	441.266	243.593	518.093	270.403	532.686
Porites_evermani_scaffold_1628	3723.24	2100.04	7408.46	1949.64	2933.74
Porites_evermani_scaffold_1608	27.2834	25.0799	372.886	73.4248	73.906
Porites_evermani_scaffold_2642	79088.2	26456.1	20599.3	31762.7	69177
Porites_evermani_scaffold_4479	3.02072	72.2113	12.755	16.6169	80.7844
Porites_evermani_scaffold_453	72695.7	1909.31	9709.44	3592.77	9130.58
Porites_evermani_scaffold_1123	649.506	3962.98	2735.54	677.458	2533.22
Porites_evermani_scaffold_1258	5015.51	1763.61	5443.26	2008.52	5716.76
Porites_evermani_scaffold_1383	855.741	342.788	2116.75	372.236	1087.93
Porites_evermani_scaffold_6039	1.17836	3	19	7	7.59181
Porites_evermani_scaffold_934	50.0808	13.7919	54.189	108.518	402.899
Porites_evermani_scaffold_6393	141.441	40.0636	120.529	0	0
Porites_evermani_scaffold_4000	194.512	48	682.339	199.476	87.6637
Porites_evermani_scaffold_7827	0	15.3589	0	0	1
Porites_evermani_scaffold_1090	196.735	23.001	236.241	45.3478	119.183
Porites_evermani_scaffold_4895	324.02	187.548	709.276	436.643	350.345
Porites_evermani_scaffold_261	8895.83	3078.15	13733.5	6504.3	9347.77
Porites_evermani_scaffold_1593	58.5132	48.1528	107.84	89.114	115.808
Porites_evermani_scaffold_6140	55	6.00413	26.3297	18	53
Porites_evermani_scaffold_4926	15.0823	15.367	128.446	18.168	9.08202
Porites_evermani_scaffold_897	2287.78	632.204	990.912	172.4	3004.38
Porites_evermani_scaffold_2127	1938.15	3110.34	330.664	688.04	2321.32
Porites_evermani_scaffold_4222	82.062	8.00001	38	43	67.0034
Porites_evermani_scaffold_409	1947	1215.67	3227.97	1336.58	2381.7
Porites_evermani_scaffold_873	98.2416	86.9921	186.26	44.1426	204.21
Porites_evermani_scaffold_6118	145.765	68.4456	376.054	118	143.089
Porites_evermani_scaffold_7135	1	0	29	0	6
Porites_evermani_scaffold_2482	2006.64	1305.1	3420.28	1261.09	2707.58
Porites_evermani_scaffold_129	8145.8	2494.59	3239.23	1337.47	10373
Porites_evermani_scaffold_4157	71.5746	75.2422	21	35.7373	162.289
Porites_evermani_scaffold_5145	151.336	80.7586	118.457	73.8734	256.394
Porites_evermani_scaffold_1749	720.805	649.141	533.458	279.697	690.179
Porites_evermani_scaffold_1009	2102.23	1874.88	1279.94	1365.33	2460.6
Porites_evermani_scaffold_492	15093.5	4177.27	5655.11	5485.51	22193.7
Porites_evermani_scaffold_968	70.9995	70.5871	407.154	126.571	120.463
Porites_evermani_scaffold_8117	1	42	21	104	134
Porites_evermani_scaffold_2844	1030.65	495.384	1770.89	164.622	1270.27
Porites_evermani_scaffold_2138	540.617	259.007	515.58	294.264	493.319
Porites_evermani_scaffold_748	6475.44	2411.17	4114.38	1897.22	8136.92
Porites_evermani_scaffold_2538	30.1678	51.0018	144.128	67.0885	90.9553
Porites_evermani_scaffold_1305	410.991	145.643	317.439	12.1769	37.5137
Porites_evermani_scaffold_558	163.083	226.316	849.092	171.967	830.64
Porites_evermani_scaffold_6699	160	113	106.036	49.0002	83.0004
Porites_evermani_scaffold_1328	2847.44	2986.06	3061.07	2571.15	7813.3
Porites_evermani_scaffold_2226	3742.8	3602.68	4925.59	924.112	4397.52
Porites_evermani_scaffold_3399	57.7474	35.7678	149.632	26.081	39.7755
Porites_evermani_scaffold_587	4856.98	950.248	7455.01	1895.4	4867.52
Porites_evermani_scaffold_6434	4.08653	2.03638	33.7568	0	6.04604
Porites_evermani_scaffold_5538	60.4198	12.2739	69.8154	11.7413	27.2577
Porites_evermani_scaffold_1306	361.148	400.643	360.302	213.16	81.8196
Porites_evermani_scaffold_6680	6.99023	0	0	0	0
Porites_evermani_scaffold_196	2529.81	1784.34	3971.07	1830.53	3899.03
Porites_evermani_scaffold_4611	12.0509	3	38.0212	1	35.0919
Porites_evermani_scaffold_416	9981.71	6225.04	13047	5937.99	14057
Porites_evermani_scaffold_4625	3381.81	913.614	3549.62	685.325	2344.16
Porites_evermani_scaffold_133	13911.2	8431.64	7816.44	4673.18	15651.7
Porites_evermani_scaffold_1804	218.475	104.076	881.984	76.0937	205.585
Porites_evermani_scaffold_6164	17.505	3.20376	30.2427	1.00481	25.1018
Porites_evermani_scaffold_4088	421.695	38.0625	70.5247	81.4615	576.035
Porites_evermani_scaffold_1045	400.063	89.4114	307.381	649.569	451.274
Porites_evermani_scaffold_2641	2233.9	436.034	577.002	1309.31	1691.43
Porites_evermani_scaffold_3079	3722.33	2431.21	2571.95	1273.37	5175.8
Porites_evermani_scaffold_2671	690.772	261.628	840.989	342.36	693.016
Porites_evermani_scaffold_3156	0	2.94394	10.2618	10.5043	1.1925
Porites_evermani_scaffold_3698	1.23564	43.8614	2104.56	176.094	3.65475
Porites_evermani_scaffold_2295	21.086	3.01922	99.658	20.4393	48.7045
Porites_evermani_scaffold_1035	4843.82	1990.46	5675.34	2232.74	5577.27
Porites_evermani_scaffold_622	7350.74	2317.11	6502.84	4085.22	9831.85
Porites_evermani_scaffold_1073	19.8299	25.8499	54.2929	24.8091	22.591
Porites_evermani_scaffold_199	13411.1	6316.62	13668.9	8488.62	15750.5
Porites_evermani_scaffold_4075	1848.41	294.068	709.247	1062.37	2373.27
Porites_evermani_scaffold_5140	2.13911	0	0	4.69309	13.8701
Porites_evermani_scaffold_4578	57.6772	26.5448	27.1821	155.544	87.0697
Porites_evermani_scaffold_4284	2579.17	1180.29	1183.49	2225.33	3436
Porites_evermani_scaffold_5468	52.3514	0	2.46583	0	77.2576
Porites_evermani_scaffold_359	15640.6	2193.18	14067.2	9000.54	19395.6
Porites_evermani_scaffold_937	38.859	11.3942	46.2553	5.9098	45.204
Porites_evermani_scaffold_1825	215.637	470.111	885.461	420.723	216.446
Porites_evermani_scaffold_2067	3809.63	1086.25	9586.75	4060.63	11804.1
Porites_evermani_scaffold_4994	128.566	108.935	518.961	329.109	188.441
Porites_evermani_scaffold_2991	94.248	229.812	346.332	486.279	872.407
Porites_evermani_scaffold_2984	5.07731	498.32	1469.09	342	803.07
Porites_evermani_scaffold_5096	326.436	50.1136	130.289	1072.64	1357.09
Porites_evermani_scaffold_888	270.031	179.203	1103.12	139.029	424.41
Porites_evermani_scaffold_2152	37.5835	49.5729	68.5835	52.2849	67.4271
Porites_evermani_scaffold_13	28115.9	11371.1	30048.8	14909.3	34990
Porites_evermani_scaffold_2125	175.07	20.7955	74.0469	60.4334	147.1
Porites_evermani_scaffold_635	801.378	421.573	1243.79	619.463	983.879
Porites_evermani_scaffold_4083	15.061	5.02856	14.033	1.01305	8.04148
Porites_evermani_scaffold_3689	35.0128	41	255.013	6.00854	184.301
Porites_evermani_scaffold_1553	1296.4	293.74	2758.86	282.752	1227.25
Porites_evermani_scaffold_1460	1682.04	612.647	820.89	319.684	3815.87
Porites_evermani_scaffold_1373	461.285	483.663	434.151	199.338	1020.11
Porites_evermani_scaffold_713	17842.2	4403.32	7045.42	4494.91	16344.1
Porites_evermani_scaffold_2660	1025.31	580.023	12.0439	444.187	1428.69
Porites_evermani_scaffold_12	44919.8	33824.8	38582.4	23882.7	52851.8
Porites_evermani_scaffold_7410	23.6569	15.384	5.92024	32.3989	0
Porites_evermani_scaffold_5623	74.4902	79.3862	91.5124	60.9087	46.5632
Porites_evermani_scaffold_2889	41.3329	25.7273	217.376	31.2114	83.7175
Porites_evermani_scaffold_1603	740.816	669.674	1274.42	462.593	878.086
Porites_evermani_scaffold_7316	7.35287	0	0	2	30.6892
Porites_evermani_scaffold_595	3222.19	1095.96	3693.33	1756.72	6147.42
Porites_evermani_scaffold_2360	114.543	23.5073	64.5335	27.011	114.382
Porites_evermani_scaffold_3840	4182.35	665.936	2315.85	2003.67	5806.08
Porites_evermani_scaffold_1959	1905.35	231.784	3947.47	1805.64	1593.35
Porites_evermani_scaffold_2487	679.078	718.017	1394.23	742.222	2033.36
Porites_evermani_scaffold_181	5009.89	3601.21	5700.7	4204.13	5946.38
Porites_evermani_scaffold_5635	55.844	22.7529	44.7986	40.0245	12
Porites_evermani_scaffold_885	6735.03	3330.26	7891.21	3340	9340.09
Porites_evermani_scaffold_2635	121.264	88.8973	370.992	127.4	146.185
Porites_evermani_scaffold_3383	128.659	278.706	38.0804	130.266	303.444
Porites_evermani_scaffold_5311	709.711	378.31	2400	1022	1352.54
Porites_evermani_scaffold_2337	251.579	97.8395	248.797	81.7789	200.005
Porites_evermani_scaffold_1495	1144.86	267.379	729.905	465.104	1230.13
Porites_evermani_scaffold_1215	2064.11	691.004	610.759	823.921	2018.38
Porites_evermani_scaffold_5890	469.216	189.307	190.237	205.237	773.484
Porites_evermani_scaffold_2090	750.245	394.158	764.139	401.612	602.122
Porites_evermani_scaffold_334	5893.31	2408.64	8101.23	3934.87	8371.15
Porites_evermani_scaffold_5002	6.87103	4.05639	72.3816	5.07851	8.03683
Porites_evermani_scaffold_251	16516.8	11316.6	20363.5	10636.7	21116.5
Porites_evermani_scaffold_364	151.061	201.746	633.914	402.116	550.031
Porites_evermani_scaffold_3377	1099.96	230.104	1136.6	734.542	1708.91
Porites_evermani_scaffold_1132	273.057	242.538	1410.34	648.969	632.543
Porites_evermani_scaffold_6622	3.04852	0	0	12.3037	15
Porites_evermani_scaffold_5232	36.5036	14.6485	41.9027	17.7437	25.896
Porites_evermani_scaffold_2406	4040.52	1419.73	2606.48	114.913	2486.93
Porites_evermani_scaffold_3730	502.482	128.674	408	161.184	482.52
Porites_evermani_scaffold_7107	3	8.05212	129.091	9	64.4445
Porites_evermani_scaffold_1118	281.443	137.612	579.151	243.652	405.281
Porites_evermani_scaffold_5138	2.0021	0	0	0	42.0368
Porites_evermani_scaffold_2391	183.417	110.446	48.9324	101.431	175.745
Porites_evermani_scaffold_1270	400.03	203.318	963.409	353.563	500.615
Porites_evermani_scaffold_103	16276.2	6570.11	20774.8	9540.2	19445.3
Porites_evermani_scaffold_808	178.397	72.2235	145.832	23.5974	150.022
Porites_evermani_scaffold_1931	356.143	39.3347	501.412	133.327	45.2667
Porites_evermani_scaffold_2100	1544.67	296.192	1227.14	810.352	1107.74
Porites_evermani_scaffold_7008	38.0892	0	29	30.1102	64.3486
Porites_evermani_scaffold_3560	169.87	90.8148	621.478	157.532	195.275
Porites_evermani_scaffold_5142	409.372	116.308	792.192	161.579	238.832
Porites_evermani_scaffold_6111	705.254	250.23	2387.05	134	1270.82
Porites_evermani_scaffold_1096	352.109	312.884	503.666	172.498	532.755
Porites_evermani_scaffold_2448	3207.05	756.166	6377.45	6626.67	3204.08
Porites_evermani_scaffold_5408	185.164	94	644.033	181	399
Porites_evermani_scaffold_664	1599.14	1616.95	1512.15	689.664	9686.3
Porites_evermani_scaffold_3410	37.1673	57.1515	11.1323	27.1777	22.8384
Porites_evermani_scaffold_1390	297.103	135.286	778.373	303.418	452.118
Porites_evermani_scaffold_1146	280.933	203.484	96.2368	98.9239	394.373
Porites_evermani_scaffold_2068	531.126	251.85	785.888	246.957	597.811
Porites_evermani_scaffold_1157	12685.2	4776.06	10067.1	5743.88	16830.1
Porites_evermani_scaffold_1548	48092.4	15342.1	7273.19	18912	134431
Porites_evermani_scaffold_7333	1.09903	5	28	8.05878	24
Porites_evermani_scaffold_830	1093.11	330.476	1424.52	373.612	1210.44
Porites_evermani_scaffold_1843	6257.89	1698.16	5791.13	4292.23	5906.61
Porites_evermani_scaffold_1697	4421.02	1446.26	2895.5	1899.87	4461.48
Porites_evermani_scaffold_310	6586.41	2498.79	7011	4482.82	8893.16
Porites_evermani_scaffold_6362	1.01045	50.9561	13.0319	23.2062	26.1164
Porites_evermani_scaffold_56	8857.43	4528.81	11250.3	5360.21	10079.5
Porites_evermani_scaffold_810	5184.09	2494.11	4445.77	2059.18	5018.98
Porites_evermani_scaffold_4270	292.793	108.732	455	67.4553	338.514
Porites_evermani_scaffold_1480	314.781	43.2871	755.056	177.324	433.654
Porites_evermani_scaffold_225	22516.4	12156	23692.4	12309	25962.3
Porites_evermani_scaffold_1565	1594.47	1326.31	4980.83	1752.87	1870.43
Porites_evermani_scaffold_7212	182	0	31	2	8.26801
Porites_evermani_scaffold_5888	4187.19	566.002	546.685	1285.42	3763.58
Porites_evermani_scaffold_7918	6.0408	1.00618	17.69	8.01864	5.03266
Porites_evermani_scaffold_547	11745.3	5365.8	3406.04	4605.96	13286
Porites_evermani_scaffold_1757	1044.05	421.131	1658.59	570.019	1538.65
Porites_evermani_scaffold_2837	114.94	182.911	680.36	173.136	17.0981
Porites_evermani_scaffold_990	5663.28	1512.57	5717.48	2789.1	5096.13
Porites_evermani_scaffold_2815	6.22322	4.01132	0	3.15502	47.7742
Porites_evermani_scaffold_2823	177.86	65.3737	285.21	99.3731	246.214
Porites_evermani_scaffold_210	7199	2940.06	8978.91	4455.88	8074.54
Porites_evermani_scaffold_5998	9	6	53	1	2
Porites_evermani_scaffold_1999	2222.95	1351.5	2879.82	1354.8	3611.66
Porites_evermani_scaffold_4465	187.013	68	570	178.03	211.649
Porites_evermani_scaffold_9	21880.5	9589.92	29461.3	15622.4	31307.7
Porites_evermani_scaffold_2245	4040.26	1212.88	3852.43	2098.19	4542.17
Porites_evermani_scaffold_4341	828.663	606.7	755.224	736.816	4067.56
Porites_evermani_scaffold_457	1229.99	1064.93	1469.35	1267	2915.96
Porites_evermani_scaffold_1821	2305.26	29.3303	250.703	724.49	4030.53
Porites_evermani_scaffold_8062	30.7454	22.4625	28.6046	1.96623	68.4191
Porites_evermani_scaffold_967	169.768	63.1579	39.7606	93.1188	327.396
Porites_evermani_scaffold_236	7206.39	1533.43	5669.22	1053.29	5589.6
Porites_evermani_scaffold_519	9933.09	2887.41	4712	3590.34	9591.03
Porites_evermani_scaffold_1397	4792.38	1990.47	3600.24	2227.14	10541.2
Porites_evermani_scaffold_1649	88.4087	39.7653	535.813	173.222	211.75
Porites_evermani_scaffold_5257	34	15.0004	75	10	28
Porites_evermani_scaffold_2940	79.0981	24.1547	16.9568	31.3959	45.2865
Porites_evermani_scaffold_1142	1898.57	949.322	2651.39	1113.49	2519.18
Porites_evermani_scaffold_6883	16	1	0	14.8447	0
Porites_evermani_scaffold_5898	153	3	91	9	224.821
Porites_evermani_scaffold_3165	5380.83	39993.2	4263.61	2785.2	8132.27
Porites_evermani_scaffold_510	4483.77	1290.17	4848.83	3366.95	6742.49
Porites_evermani_scaffold_329	7269.01	1782.95	9529.27	3929.22	6793.24
Porites_evermani_scaffold_4663	34.2553	15.0534	0	38.164	71.4189
Porites_evermani_scaffold_4302	8.23503	678.481	211.677	1352.14	17.5277
Porites_evermani_scaffold_2588	49.1581	397.722	829.304	28.3614	900.296
Porites_evermani_scaffold_5122	84.609	121.942	272.864	189.389	482.767
Porites_evermani_scaffold_2529	16708.8	4022.52	14969.4	12593.4	17433.7
Porites_evermani_scaffold_5934	0	0	0	0	0
Porites_evermani_scaffold_2705	1973.54	932.209	3093	2588.43	2620.62
Porites_evermani_scaffold_1751	1565.04	1338.72	1265.3	600.348	2469.79
Porites_evermani_scaffold_2381	340.82	118.04	544.078	211.473	509.793
Porites_evermani_scaffold_3898	381	491.762	423.001	190.151	207.073
Porites_evermani_scaffold_4460	380.641	38.5576	253.227	60.3254	237.595
Porites_evermani_scaffold_5515	5188.17	3392.28	5386.98	2742.6	4765.05
Porites_evermani_scaffold_612	3918.4	3131.21	7436.18	2954.87	5146.88
Porites_evermani_scaffold_6750	41	13	67	15	35
Porites_evermani_scaffold_6101	1.93901	3	15	27.0678	19
Porites_evermani_scaffold_551	684.307	738.063	5.20518	16.448	33.8092
Porites_evermani_scaffold_3755	621.199	156.973	158.2	251.825	403.422
Porites_evermani_scaffold_6430	33	1	2.21001	12	13
Porites_evermani_scaffold_374	2802.54	584.205	2156.44	3261.16	515.525
Porites_evermani_scaffold_2662	169.642	35.4788	59.836	100.164	160.314
Porites_evermani_scaffold_2573	6.019	11.0759	7.72733	10.0693	53.8731
Porites_evermani_scaffold_3534	319.793	105.6	697.302	221.934	572.526
Porites_evermani_scaffold_6055	28.0182	3.12233	0	2.0217	49.501
Porites_evermani_scaffold_4040	2401.36	616.977	1063.69	1141.21	3399.23
Porites_evermani_scaffold_1011	21191.7	7651.02	9260.98	8553.58	35351.4
Porites_evermani_scaffold_5937	36	6.45251	127.012	10.0015	10
Porites_evermani_scaffold_954	3182.87	26356.1	4799.49	2332.81	6301.09
Porites_evermani_scaffold_3911	71.1064	7732.22	68.7521	46.2371	16.0087
Porites_evermani_scaffold_1637	5974.34	1099.84	1830.24	2758.73	13137
Porites_evermani_scaffold_935	993.07	280.296	1354.65	863.194	1149.42
Porites_evermani_scaffold_7072	39.6991	15.4939	75.8595	31.9217	67.9851
Porites_evermani_scaffold_2262	744.937	129.053	598.748	230.449	604.785
Porites_evermani_scaffold_1421	409.08	82.1379	578.104	172.758	498.881
Porites_evermani_scaffold_135	4905.56	1573.13	5137.73	2603.17	7117.27
Porites_evermani_scaffold_5677	2466	636	2296.92	871	4647
Porites_evermani_scaffold_3593	16.1295	9.01156	15	14.2704	4.00721
Porites_evermani_scaffold_1717	3325.11	1156.04	1960.27	1586.66	3646.33
Porites_evermani_scaffold_6191	56.6049	8.00395	234.306	111.044	50.1084
Porites_evermani_scaffold_879	112.337	172.316	246.163	374.549	255.173
Porites_evermani_scaffold_1736	2609.38	1734.94	2680.45	2024.46	3751.77
Porites_evermani_scaffold_6911	1.00335	6.02413	22.0083	1.00731	4.00341
Porites_evermani_scaffold_1317	5534.64	1827.63	4574.71	2628.69	8446.27
Porites_evermani_scaffold_414	37986.8	20463.8	22504.9	13908.2	38046.1
Porites_evermani_scaffold_4386	919.434	203.268	52.9285	126.183	473.436
Porites_evermani_scaffold_1223	103.95	32.2827	703.288	126.911	96.502
Porites_evermani_scaffold_1324	494.487	310.158	1683.48	465.583	516.917
Porites_evermani_scaffold_3581	51.3101	3.15843	1.06361	68.0209	228.525
Porites_evermani_scaffold_316	20944.4	5644.03	14633.7	9910.01	24319.9
Porites_evermani_scaffold_7752	86	30	145	33	54
